Calne Chilvester & Abberd	WD21CD/E05013412
Abbey	WD21CD/E05000026
Abbey	WD21CD/E05000455
Abbey	WD21CD/E05001260
Abbey	WD21CD/E05001767
Abbey	WD21CD/E05002319
Abbey	WD21CD/E05006917
Abbey	WD21CD/E05007474
Abbey	WD21CD/E05007868
Abbey	WD21CD/E05008136
Abbey	WD21CD/E05009544
Abbey	WD21CD/E05009708
Abbey	WD21CD/E05010458
Abbey	WD21CD/E05010696
Abbey	WD21CD/E05010784
Abbey	WD21CD/E05013050
Abbey	WD21CD/E05013120
Abbey	WD21CD/N08000101
Abbey	WD21CD/N08001001
Abbey	WD21CD/S13002884
Gorton & Abbey Hey	WD21CD/E05011365
Abbey Hill	WD21CD/E05010673
Abbey Hulton and Townsend	WD21CD/E05008714
Abbey Road	WD21CD/E05000630
Abbey Wood	WD21CD/E05000214
Abbeydale	WD21CD/E05010950
Abbeygate	WD21CD/E05012763
Abbeymead	WD21CD/E05010951
Abbots Langley & Bedmond	WD21CD/E05009425
Abbott	WD21CD/E05008857
Aber Valley	WD21CD/W05000720
Aber-craf	WD21CD/W05000284
Aberaeron	WD21CD/W05000357
Aberaman North	WD21CD/W05000655
Aberaman South	WD21CD/W05001017
Aberavon	PCON17CD/W07000049
Aberavon	WD21CD/W05000551
Aberbargoed	WD21CD/W05000718
Abercarn	WD21CD/W05000719
Aberconwy	PCON17CD/W07000058
Abercynon	WD21CD/W05000657
Aberdare East	WD21CD/W05000658
Aberdare West/Llwydcoed	WD21CD/W05000659
Aberdaron	WD21CD/W05000041
Aberdeen City	LAD23CD/S12000033
Aberdeen North	PCON17CD/S14000001
Aberdeen South	PCON17CD/S14000002
Aberdeenshire	LAD23CD/S12000034
Aberdovey	WD21CD/W05000042
Aberdulais	WD21CD/W05000552
Abererch	WD21CD/W05000043
Abergele Pensarn	WD21CD/W05000112
Abergwili	WD21CD/W05000457
Aberkenfig	WD21CD/W05000593
Abermaw	WD21CD/W05000044
Aberporth	WD21CD/W05000358
Abersoch	WD21CD/W05000045
Abersychan	WD21CD/W05000992
Aberteifi/Cardigan-Mwldan	WD21CD/W05000359
Aberteifi/Cardigan-Rhyd-y-Fuwch	WD21CD/W05000360
Aberteifi/Cardigan-Teifi	WD21CD/W05000361
Abertillery	WD21CD/W05000751
Aberystwyth Bronglais	WD21CD/W05000362
Aberystwyth Canol/Central	WD21CD/W05000363
Aberystwyth Gogledd/North	WD21CD/W05000364
Aberystwyth Penparcau	WD21CD/W05000365
Aberystwyth Rheidol	WD21CD/W05000366
Abingdon	WD21CD/E05009388
Abingdon Abbey Northcourt	WD21CD/E05009754
Abingdon Caldecott	WD21CD/E05009755
Abingdon Dunmore	WD21CD/E05012970
Abingdon Fitzharris	WD21CD/E05009757
Abingdon Peachcroft	WD21CD/E05012971
Abington and Phippsville	WD21CD/E05013239
Aboyne, Upper Deeside and Donside	WD21CD/S13002862
Abram	WD21CD/E05000840
Academy	WD21CD/N08000801
Acklam	WD21CD/E05009853
Ackworth, North Elmsall and Upton	WD21CD/E05001444
Acle	WD21CD/E05005757
Acocks Green	WD21CD/E05011118
Acomb	WD21CD/E05010311
Acton	WD21CD/W05000237
Acton Central	WD21CD/E05000170
Adamsdown	WD21CD/W05000853
Adderbury, Bloxham and Bodicote	WD21CD/E05011348
Selsdon & Addington Village	WD21CD/E05011480
Addiscombe East	WD21CD/E05011462
Addiscombe West	WD21CD/E05011463
Addison	WD21CD/E05000250
Addlestone North	WD21CD/E05012887
Addlestone South	WD21CD/E05012888
Adel & Wharfedale	WD21CD/E05012841
Adeyfield East	WD21CD/E05004691
Adeyfield West	WD21CD/E05004692
Little Stour & Adisham	WD21CD/E05012953
