id	name	lat	lon	capital	code	pop
3176438	Gaeta	41.2141	13.5708	0	PPLA3	19
3173391	Minturno	41.2629	13.7458	0	PPLA3	16
3164621	Venafro	41.4828	14.0477	0	PPLA3	9
3175392	Itri	41.2903	13.5300	0	PPLA3	8
3170286	Pontecorvo	41.4586	13.6662	0	PPLA3	7
3179188	Cellole	41.2034	13.8533	0	PPLA3	5
3166614	Sessa Aurunca	41.2399	13.9297	0	PPLA3	5
3180878	Cancello-Arnone	41.0734	14.0254	0	PPLX	4
3179013	Cervaro	41.4828	13.9022	0	PPLA3	4
8948862	San Bartolomeo	41.4826	13.8575	0	PPL	3
8948823	Grunuovo-Campomaggiore San Luca	41.2723	13.8068	0	PPL	3
6535631	Falciano del Massico	41.1627	13.9481	0	PPLA3	3
3182937	Aquino	41.4939	13.7052	0	PPLA3	3
3178737	Sant'Andrea-Pizzone-Ciamprisco	41.1500	14.0333	0	PPL	3
3173827	Marzano Appio	41.3177	14.0450	0	PPL	3
3166283	Sperlonga	41.2590	13.4330	0	PPLA3	3
8948961	Penitro	41.2733	13.6926	0	PPL	2
3179692	Castelforte	41.2939	13.8306	0	PPLA3	2
3174891	Lenola	41.4049	13.4593	0	PPLA3	2
3174018	Maranola-Trivio	41.2852	13.6278	0	PPL	2
3172246	Nocelleto	41.1707	14.0157	0	PPL	2
3170842	Piedimonte San Germano	41.4980	13.7502	0	PPLA3	2
3169165	Roccamonfina	41.2868	13.9791	0	PPLA3	2
3168308	San Giorgio a Liri	41.4058	13.7598	0	PPLA3	2
3164863	Vallecorsa	41.4435	13.4063	0	PPLA3	2
9036372	Piedimonte San Germano Alta	41.5045	13.7491	0	PPL	1
8949202	Casale	41.2197	14.0023	0	PPL	1
6535051	Coreno Ausonio	41.3473	13.7765	0	PPLA3	1
3180591	Carano	41.2053	13.9097	0	PPL	1
3180507	Carinola	41.1878	13.9824	0	PPLA3	1
3180109	Casanova	41.1925	13.9634	0	PPL	1
3179982	Cascano	41.2323	13.9693	0	PPL	1
3175029	Lauro	41.2636	13.8906	0	PPL	1
3173439	Mignano Monte Lungo	41.4059	13.9855	0	PPLA3	1
3170845	Piedimonte	41.1889	13.8986	0	PPL	1
3168490	San Castrese	41.2586	13.8654	0	PPL	1
3168243	San Giovanni Incarico	41.5000	13.5586	0	PPLA3	1
9036135	Spigno Saturnia Inferiore	41.3115	13.7369	0	PPLA3	0
8950177	Bivio Mortola	41.3956	13.8966	0	PPLA3	0
8199398	Grottola	41.3171	14.0412	0	PPLA3	0
3182665	Ausonia	41.3581	13.7498	0	PPLA3	0
3179515	Castelnuovo Parano	41.3791	13.7562	0	PPLA3	0
3177342	Esperia	41.3824	13.6849	0	PPLA3	0
3176596	Francolise	41.1850	14.0567	0	PPLA3	0
3170863	Pico	41.4502	13.5589	0	PPLA3	0
3170719	Pignataro Interamna	41.4392	13.7862	0	PPLA3	0
3168473	San Clemente	41.3403	13.9560	0	PPLA3	0
3167823	San Pietro Infine	41.4455	13.9603	0	PPLA3	0
3167512	Sant'Ambrogio sul Garigliano	41.3942	13.8689	0	PPLA3	0
3167484	Sant'Andrea del Garigliano	41.3687	13.8420	0	PPLA3	0
3167381	Sant'Apollinare	41.4018	13.8299	0	PPLA3	0
3167308	Santi Cosma e Damiano	41.3009	13.8156	0	PPLA3	0
3167174	San Vittore del Lazio	41.4621	13.9337	0	PPLA3	0
